playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,AllStar,MVP,CyYoung,WorldSeriesMVP,GoldGlove
leipeda01,0,12,8,264,0,0,0,7,834.0,282,123,25,114,150,17.0,12.0,7.0,3,1212.0,65.0,141,,,3.9820143884892087,0.0,0.0,0.0,0.0,0.0
leiteal01,0,162,132,419,382,16,10,2,7173.0,2152,1010,198,1163,1974,53.0,63.0,117.0,20,10334.0,9.0,1101,57.0,28.0,3.8017565872020076,2.0,0.0,0.0,0.0,0.0
leitema01,0,65,73,335,149,15,1,26,3553.0,1205,602,155,424,892,43.0,46.0,75.0,9,5154.0,88.0,664,1.0,0.0,4.5747255840135095,0.0,0.0,0.0,0.0,0.0
lemanda01,0,37,63,185,103,30,3,0,2739.0,1012,469,87,363,429,22.0,48.0,20.0,5,4012.0,39.0,529,,,4.623220153340635,1.0,0.0,0.0,0.0,0.0
lemasde01,0,90,105,357,249,66,14,8,5363.0,1703,712,184,600,1305,73.0,88.0,24.0,6,7552.0,41.0,778,,,3.5845608801044193,1.0,0.0,0.0,0.0,0.0
lemonbo01,1,207,128,460,350,188,31,22,8550.0,2559,1024,181,1251,1277,13.0,63.0,57.0,2,12099.0,73.0,1185,,,3.2336842105263157,7.0,0.0,,,
lemonma01,0,22,38,89,74,17,1,1,1611.0,564,242,56,159,209,19.0,6.0,15.0,6,2294.0,8.0,264,,,4.055865921787709,0.0,0.0,0.0,0.0,0.0
leonade01,0,144,106,312,302,103,23,1,6561.0,2137,898,202,622,1323,39.0,73.0,52.0,6,9149.0,3.0,1008,,,3.6954732510288064,0.0,0.0,0.0,0.0,0.0
leonadu01,0,139,113,331,272,152,33,13,6576.0,2022,672,54,664,1160,,61.0,68.0,3,8923.0,47.0,853,,,2.759124087591241,,0.0,,,
leonadu02,0,191,181,640,374,192,30,44,9655.0,3304,1162,158,737,1170,,97.0,56.0,6,13487.0,171.0,1432,,,3.2495080269290524,5.0,0.0,,,
leonhda01,0,16,14,117,29,7,4,5,1011.0,287,118,32,150,146,14.0,10.0,4.0,4,1403.0,24.0,125,,,3.1513353115727,0.0,0.0,0.0,0.0,0.0
leonma01,0,14,18,162,13,2,1,13,931.0,315,128,28,100,170,17.0,6.0,23.0,2,1346.0,64.0,153,,,3.712137486573577,0.0,0.0,0.0,0.0,0.0
lerchra01,0,60,64,253,164,18,2,3,3298.0,1232,553,101,432,507,26.0,39.0,10.0,7,4829.0,31.0,612,,,4.527289266221953,0.0,0.0,0.0,0.0,0.0
lerscba01,0,18,32,169,53,9,1,6,1711.0,536,242,70,172,317,20.0,20.0,10.0,1,2377.0,47.0,255,,,3.8188194038573933,0.0,0.0,0.0,0.0,0.0
