playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name,Mitchell-Report,Positive-Test
sageraj01,0,12,15,123,16,0,0,5,851,332,169,32,99,164,18,5,6,0,1258,22,186,,,5.3619271445,A. J. Sager,0,0
sainjo01,0,139,116,412,245,140,16,51,6377,2145,824,180,619,910,4,20,30,8,8998,124,947,,,3.4887878313,Johnny Sain,0,0
saitota01,0,21,15,338,0,0,0,84,1014,250,88,25,108,400,13,9,14,0,1363,189,99,8,10,2.3431952663,Takashi Saito,0,0
salasfe01,0,16,15,316,0,0,0,24,944,272,125,32,95,321,20,14,8,1,1310,118,132,19,10,3.5752118644,Fernando Salas,0,0
salazda01,0,22,21,60,60,1,1,0,1041,317,141,43,103,380,5,9,10,2,1442,0,154,5,9,3.6570605187,Danny Salazar,0,0
salech01,0,57,40,196,116,8,1,12,2650,732,286,86,215,1011,12,27,46,1,3557,25,310,11,13,2.9139622642,Chris Sale,0,0
sallesl01,0,174,143,476,307,189,25,36,8465,2729,804,68,573,836,,12,43,5,11476,123,1091,,,2.5644418193,Slim Sallee,0,0
salveja01,0,9,9,87,19,8,3,4,818,302,121,21,87,85,,2,3,2,1179,38,143,,,3.9938875306,Jack Salveson,0,0
salvoma01,0,33,50,135,93,40,9,1,2164,723,296,42,284,247,,13,16,3,3127,21,352,,,3.6931608133,Manny Salvo,0,0
samarje01,0,47,61,254,131,7,3,1,2975,941,451,110,326,901,15,49,43,0,4191,31,494,24,26,4.0931092437,Jeff Samardzija,0,0
sambijo01,0,37,38,461,5,1,1,84,1887,562,212,48,195,489,32,18,10,1,2588,274,241,,,3.0333863275,Joe Sambito,0,0
sampebi01,0,25,21,182,14,0,0,2,898,312,124,26,133,176,20,11,16,3,1315,54,138,,,3.728285078,Bill Sampen,0,0
sampsch01,0,20,15,174,33,0,0,3,1076,390,176,40,87,176,14,6,12,1,1517,26,190,13,13,4.4163568773,Chris Sampson,0,0
sanchaa01,0,9,8,65,11,0,0,3,376,88,37,10,53,88,2,9,4,0,501,10,40,4,1,2.6569148936,Aaron Sanchez,0,0
sanchan01,0,80,74,221,219,9,7,0,4002,1266,549,121,453,1175,28,43,36,11,5655,0,599,53,28,3.703898051,Anibal Sanchez,0,0
sanchbr01,0,13,7,195,2,0,0,0,705,209,98,36,122,204,20,15,11,2,1026,43,112,6,6,3.7531914894,Brian Sanches,0,0
sanchdu01,0,19,11,288,0,0,0,8,896,292,136,33,126,214,18,17,19,1,1300,95,145,17,10,4.0982142857,Duaner Sanchez,0,0
sanchje01,0,23,34,162,83,2,2,0,1574,564,310,82,281,384,22,21,15,7,2363,18,334,11,15,5.3176620076,Jesus Sanchez,0,0
sanchjo01,0,39,58,194,137,1,1,0,2359,714,411,91,437,796,15,50,44,2,3486,14,438,29,24,4.7041119118,Jonathan Sanchez,0,0
sanchlu01,0,28,21,194,1,0,0,27,1109,371,154,32,145,216,30,7,15,2,1581,127,169,,,3.7493237151,Luis Sanchez,0,0
sandebe01,0,80,70,168,157,144,14,2,4155,1496,498,34,297,468,,37,17,1,4724,10,789,,,3.236101083,Ben Sanders,0,0
sandeke01,0,29,45,408,1,0,0,86,1970,564,217,49,258,360,67,9,17,4,2741,285,240,,,2.9741116751,Ken Sanders,0,0
sandesc01,0,163,143,472,407,43,14,5,7685,2590,1093,297,625,1611,51,39,43,22,10709,18,1209,,,3.8400780742,Scott Sanderson,0,0
sandesc02,0,34,45,235,88,2,1,5,2045,674,368,93,276,632,31,38,14,4,2976,47,399,,,4.8586797066,Scott Sanders,0,0
