playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name
driscde01,0,38,39,83,80,72,1,0,2043,747,233,7,67,171,,8.0,2.0,0,2122.0,3.0,414,,,3.0792951542,Denny Driscoll
drisktr01,0,11,14,57,19,0,0,1,588,236,114,30,61,123,3.0,9.0,9.0,0,876.0,15.0,125,5.0,5.0,5.2346938776,Travis Driskill
drottdi01,0,27,46,176,101,14,5,0,2063,626,365,84,405,460,11.0,38.0,23.0,4,3078.0,32.0,420,,,4.7770237518,Dick Drott
drucklo01,0,18,15,53,40,21,0,1,951,282,102,4,137,201,,4.0,19.0,2,1315.0,7.0,125,,,2.8958990536,Louis Drucke
drysddo01,0,209,166,518,465,167,49,6,10296,3084,1124,280,855,2486,123.0,82.0,154.0,10,14097.0,34.0,1292,,,2.9475524476,Don Drysdale
dubiemo01,0,45,53,187,97,41,9,11,2638,854,378,65,349,289,,6.0,4.0,6,3765.0,41.0,436,,,3.8688400303,Monk Dubiel
duboser01,0,9,15,52,27,1,0,0,565,181,109,25,92,115,2.0,6.0,10.0,2,826.0,7.0,116,3.0,4.0,5.2088495575,Eric DuBose
dubucje01,0,85,76,256,150,101,12,13,4333,1290,488,20,577,438,,54.0,47.0,1,6036.0,85.0,669,,,3.0408492961,Jean Dubuc
duchsju01,0,33,25,224,32,1,1,14,1364,396,158,47,121,347,14.0,10.0,23.0,1,1855.0,62.0,172,15.0,10.0,3.1275659824,Justin Duchscherer
duckwbr01,0,23,34,134,84,0,0,1,1533,552,300,63,228,376,23.0,31.0,34.0,0,2294.0,15.0,326,28.0,14.0,5.2837573386,Brandon Duckworth
duckwji01,0,7,25,97,29,2,0,4,801,256,156,37,148,220,12.0,19.0,17.0,3,1203.0,27.0,180,,,5.2584269663,Jim Duckworth
dudlecl01,0,17,33,100,52,18,1,2,1261,540,235,25,156,106,,13.0,18.0,4,1950.0,23.0,306,,,5.0317208565,Clise Dudley
duensbr01,0,41,37,354,61,2,2,2,1948,691,298,64,208,428,22.0,21.0,16.0,0,2783.0,50.0,324,21.0,16.0,4.1303901437,Brian Duensing
duffaji01,0,15,8,141,14,2,0,6,893,248,112,27,155,210,22.0,12.0,11.0,0,1288.0,54.0,131,,,3.3863381858999997,Jim Duffalo
duffyda01,0,24,30,92,80,0,0,1,1330,414,187,44,189,352,4.0,22.0,20.0,2,1893.0,2.0,200,8.0,11.0,3.7962406014999996,Danny Duffy
dugglbi01,0,93,102,241,192,159,17,6,5223,1844,616,39,424,453,,22.0,84.0,5,4774.0,47.0,849,,,3.1843767949,Bill Duggleby
dukesto01,0,5,16,161,0,0,0,21,651,226,105,19,82,169,26.0,10.0,8.0,1,955.0,76.0,120,,,4.3548387097,Tom Dukes
dukeza01,0,58,83,360,169,6,3,2,3616,1415,590,122,345,705,21.0,23.0,31.0,8,5237.0,38.0,649,66.0,35.0,4.405420353999999,Zach Duke
dulibbo01,0,17,12,176,0,0,0,14,771,257,99,25,96,129,15.0,13.0,1.0,1,1085.0,93.0,112,,,3.46692607,Bob Duliba
dumatph01,0,4,13,87,17,0,0,1,453,179,104,24,90,97,7.0,3.0,4.0,0,715.0,20.0,111,6.0,10.0,6.1986754967,Phil Dumatrait
dumonge01,0,10,23,77,35,14,4,3,1041,294,110,4,130,128,,15.0,10.0,2,1424.0,22.0,151,,,2.8530259366000004,George Dumont
dunklda01,0,17,30,61,47,36,0,1,1263,503,235,10,162,139,,18.0,21.0,0,1172.0,13.0,319,,,5.0237529691,Davey Dunkle
